PAGE_NO_ORIGINAL,BOOK_REF,PAGE_NO,X,Y,WIDTH,HEIGHT,IMAGE_SIZE,RACE
01_000001,002322267_1,1,0,0,2080,2655,99.9143136699,
01_000008,002322267_1,8,28,342,1933,1945,75.8522798344,
01_000009,002322267_1,9,4,4,2029,2429,92.1949411805,
01_000046,002322267_1,46,3,19,2056,2409,95.6373241884,
01_000052,002322267_1,52,49,12,1950,2472,93.8763427877,
01_000063,002322267_1,63,187,156,1616,2046,65.722709361,
01_000125,002322267_1,125,49,22,1943,2374,91.6362317251,
01_000219,002322267_1,219,120,235,1652,1995,68.7027579162,
01_000234,002322267_1,234,18,10,1990,2480,97.997710898,
01_000365,002322267_1,365,77,42,1914,2404,91.5767601821,
01_000403,002322267_1,403,412,485,1113,1652,38.328907048,
01_000407,002322267_1,407,101,211,1634,1904,64.8545162702,
01_000424,002322267_1,424,79,82,1763,2207,81.1102749578,
01_000496,002322267_1,496,38,0,1911,2429,92.4759273305,
01_000510,002322267_1,510,208,225,1559,1938,62.982677034,
01_000548,002322267_1,548,236,149,1618,2159,71.3226469681,
01_000615,002322267_1,615,141,254,1541,1805,57.9830522607,
01_000643,002322267_1,643,217,205,1384,2046,59.0286631507,
01_000658,002322267_1,658,21,22,1986,2406,95.1414184253,
01_000758,002322267_1,758,34,20,1960,2376,93.0856013108,
01_000779,002322267_1,779,102,293,1569,1876,61.3588209543,
01_000806,002322267_1,806,42,16,1902,2466,94.8538837894,
01_000836,002322267_1,836,205,258,1618,1912,64.4892956161,
01_000878,002322267_1,878,0,0,2062,2684,99.8771028319,
02_000001,002322267_2,1,0,0,2063,2683,99.9143106147,
02_000008,002322267_2,8,82,137,1921,2094,80.2272288499,
02_000014,002322267_2,14,7,4,1984,2399,92.6499137177,
02_000021,002322267_2,21,0,6,2003,2441,94.9458879146,
02_000134,002322267_2,124,34,3,1974,2476,95.1941560938,
02_000192,002322267_2,192,43,0,1948,2433,94.3648494478,
02_000218,002322267_2,218,6,6,1981,2473,94.984745091,
02_000261,002322267_2,261,3,40,1960,2378,94.4453900709,
02_000317,002322267_2,317,65,6,1995,2447,93.1579073918,
02_000355,002322267_2,355,4,33,1963,2365,92.3522322906,
02_000364,002322267_2,364,36,5,1914,2424,92.2365627311,
02_000382,002322267_2,382,47,48,1990,2492,95.6586820572,
02_000390,002322267_2,390,225,243,1409,1966,58.6263280423,
02_000435,002322267_2,435,11,27,1983,2429,96.2384789519,
02_000498,002322267_2,498,16,11,1956,2384,94.9062742578,
02_000524,002322267_2,524,187,270,1524,1883,60.7342222222,
02_000532,002322267_2,532,200,280,1561,1813,59.8961481481,
02_000542,002322267_2,542,44,54,1945,2445,93.8842774522,
02_000576,002322267_2,576,49,21,1898,2497,93.3007717143,
02_000650,002322267_2,650,49,44,1942,2411,92.8801736454,
02_000686,002322267_2,686,15,26,1976,2540,96.5193874731,
02_000770,002322267_2,770,0,0,2043,2692,99.8651034966,
